Country,Models,Cluster,correlation,disagree (0),agree,poorest (1),poorer (2),average (3),richer (4),richest (5),N
Sierra Leone,Chi_Yeh,urban,0.68819,29.7,70.3,0.0,0.0,0.4,0.4,69.6,276
Sierra Leone,Chi_Yeh,all,0.32526,70.1,29.90000000000001,3.4,3.8,4.8,4.9,12.9,4130
Tanzania,Chi_Yeh,rural,0.09733,77.0,23.0,2.4,3.6,5.0,4.7,7.3,14027
Tanzania,Chi_Yeh,urban,0.58604,47.9,52.1,0.1,0.5,0.9,2.5,48.2,2659
Tanzania,Chi_Yeh,all,0.26334,71.8,28.200000000000003,2.0,3.0,4.3,4.4,14.5,17104
Togo,Chi_Yeh,rural,0.28051,74.8,25.200000000000003,3.9,4.2,4.8,5.6,6.6,2697
Togo,Chi_Yeh,urban,0.77669,32.8,67.2,0.2,0.0,1.5,2.2,63.2,454
Togo,Chi_Yeh,all,0.46141,68.4,31.599999999999994,3.4,3.6,4.4,5.1,15.1,3196
Uganda,Chi_Yeh,rural,0.22756,74.7,25.3,5.8,5.1,4.1,4.9,5.5,5344
Uganda,Chi_Yeh,urban,0.27458,67.6,32.400000000000006,1.1,2.1,2.4,5.8,21.0,3007
Uganda,Chi_Yeh,all,0.29832,72.1,27.90000000000001,4.0,4.0,3.5,5.2,11.1,8460
Zambia,Chi_Yeh,rural,0.42134,68.9,31.099999999999994,3.1,4.8,5.6,5.5,12.2,4935
Zambia,Chi_Yeh,urban,0.71732,19.8,80.2,0.0,0.0,0.4,2.1,77.7,802
Zambia,Chi_Yeh,all,0.56905,62.3,37.7,2.7,4.1,4.8,5.1,21.2,5873
Zimbabwe,Chi_Yeh,rural,0.14314,76.4,23.599999999999994,3.2,3.7,4.5,5.5,6.7,6029
Zimbabwe,Chi_Yeh,urban,0.11215,41.8,58.2,0.4,0.0,0.4,1.2,56.2,564
Zimbabwe,Chi_Yeh,all,0.22982,73.4,26.599999999999994,2.9,3.4,4.2,5.2,10.9,6622
Angola,Lee_Chi,rural,0.25469,73.0,27.0,6.7,5.7,5.6,4.8,4.1,6840
Angola,Lee_Chi,urban,0.52582,35.4,64.6,0.0,0.0,0.2,0.7,63.8,594
Angola,Lee_Chi,all,0.35173,69.7,30.3,6.1,5.2,5.2,4.5,9.4,7495
Benin,Lee_Chi,rural,0.10708,75.9,24.099999999999994,4.0,5.0,4.6,4.2,6.1,6553
Benin,Lee_Chi,urban,0.71767,29.5,70.5,0.2,0.0,0.2,1.5,68.6,881
Benin,Lee_Chi,all,0.29361,70.3,29.700000000000003,3.6,4.4,4.1,3.9,13.7,7524
Burkina Faso,Lee_Chi,rural,0.20265,75.2,24.8,4.7,4.4,4.4,4.9,6.4,14751
Burkina Faso,Lee_Chi,urban,0.65576,27.1,72.9,0.0,0.1,0.5,1.9,70.3,731
Burkina Faso,Lee_Chi,all,0.27135,72.9,27.099999999999994,4.4,4.2,4.2,4.8,9.4,15555
Cameroon,Lee_Chi,rural,0.21704,74.8,25.200000000000003,3.5,3.9,3.7,5.1,8.9,8605
Cameroon,Lee_Chi,urban,0.09705,61.2,38.8,0.0,0.1,0.4,1.9,36.3,694
Cameroon,Lee_Chi,all,0.23149,73.7,26.3,3.5,3.7,3.5,4.9,10.9,9597
Cote d'Ivoire,Lee_Chi,rural,0.47843,68.7,31.3,5.3,5.0,4.9,5.9,10.1,12808
Cote d'Ivoire,Lee_Chi,urban,0.57864,17.2,82.8,0.0,0.0,0.1,1.4,81.2,766
Cote d'Ivoire,Lee_Chi,all,0.54121,65.7,34.3,5.0,4.7,4.6,5.6,14.4,13762
Democratic Republic of the Congo,Lee_Chi,rural,0.18011,76.3,23.700000000000003,3.5,4.3,4.8,4.9,6.2,26743
Democratic Republic of the Congo,Lee_Chi,urban,0.56107,50.4,49.6,0.3,0.6,2.1,5.2,41.4,2377
Democratic Republic of the Congo,Lee_Chi,all,0.24746,74.2,25.8,3.3,4.0,4.5,4.9,9.1,29342
Ethiopia,Lee_Chi,rural,0.14586,76.8,23.200000000000003,4.2,4.5,4.9,4.9,4.7,30941
Ethiopia,Lee_Chi,urban,0.14322,64.2,35.8,0.0,0.7,1.9,4.6,28.6,3506
Ethiopia,Lee_Chi,all,0.18797,75.5,24.5,3.8,4.1,4.6,4.9,7.2,34519
Ghana,Lee_Chi,rural,0.55789,67.1,32.900000000000006,5.8,5.4,5.5,7.5,8.7,11083
Ghana,Lee_Chi,urban,0.77757,17.0,83.0,0.0,0.1,0.1,2.4,80.4,1528
Ghana,Lee_Chi,all,0.6692,60.8,39.2,5.1,4.8,4.8,6.8,17.7,12794
Guinea,Lee_Chi,rural,0.23824,75.1,24.90000000000001,3.9,4.2,4.5,4.9,7.3,9932
Guinea,Lee_Chi,urban,0.78204,13.7,86.3,0.0,0.2,0.0,0.9,85.1,437
Guinea,Lee_Chi,all,0.31186,72.5,27.5,3.7,4.0,4.3,4.7,10.8,10542
Kenya,Lee_Chi,rural,0.37749,70.6,29.40000000000001,6.3,6.4,6.1,5.3,5.3,10102
Kenya,Lee_Chi,urban,0.57687,55.9,44.1,0.3,0.4,2.4,6.5,34.5,5187
Kenya,Lee_Chi,all,0.53791,65.5,34.5,4.2,4.4,4.8,5.7,15.4,15402
Malawi,Lee_Chi,rural,0.09202,78.2,21.8,3.9,5.4,4.2,4.3,4.0,6688
Malawi,Lee_Chi,urban,0.33321,69.5,30.5,0.9,2.0,3.2,4.2,20.3,2814
Malawi,Lee_Chi,all,0.18863,75.6,24.40000000000001,3.0,4.3,3.9,4.2,8.9,9553
Mali,Lee_Chi,rural,0.04416,79.1,20.90000000000001,2.0,4.3,4.7,4.9,5.0,9129
Mali,Lee_Chi,urban,0.29773,60.0,40.0,0.0,0.3,0.0,1.2,38.5,330
Mali,Lee_Chi,all,0.06974,78.4,21.599999999999994,2.0,4.2,4.5,4.7,6.1,9552
Mozambique,Lee_Chi,rural,0.10858,77.3,22.700000000000003,4.1,4.8,4.5,4.0,5.3,10770
Mozambique,Lee_Chi,urban,0.51832,54.9,45.1,0.0,0.3,0.9,1.9,42.1,701
Mozambique,Lee_Chi,all,0.1507,75.9,24.099999999999994,3.9,4.5,4.3,3.9,7.6,11555
Nigeria,Lee_Chi,rural,0.29417,72.3,27.700000000000003,6.9,4.9,5.2,4.9,5.8,48772
Nigeria,Lee_Chi,urban,0.66919,36.6,63.4,0.2,0.3,1.2,4.4,57.3,9646
Nigeria,Lee_Chi,all,0.46013,66.3,33.7,5.8,4.1,4.5,4.9,14.4,58979
Rwanda,Lee_Chi,rural,0.25066,74.8,25.200000000000003,6.3,5.8,4.4,4.7,4.0,2150
Rwanda,Lee_Chi,urban,0.50103,67.0,33.0,4.8,4.3,4.5,5.2,14.3,4069
Rwanda,Lee_Chi,all,0.42873,69.7,30.3,5.3,4.8,4.5,5.0,10.7,6252
Senegal,Lee_Chi,rural,0.2705,74.2,25.8,3.7,4.1,4.7,5.8,7.5,11253
Senegal,Lee_Chi,urban,0.58051,19.7,80.3,0.0,0.0,0.0,0.8,79.5,736
Senegal,Lee_Chi,all,0.36614,70.7,29.3,3.4,3.8,4.5,5.5,12.2,12102
Sierra Leone,Lee_Chi,rural,0.26808,73.8,26.200000000000003,5.1,4.5,4.2,4.9,7.5,7725
Sierra Leone,Lee_Chi,urban,0.77055,17.8,82.2,0.0,0.3,0.3,1.2,80.3,325
Sierra Leone,Lee_Chi,all,0.33243,71.1,28.90000000000001,4.8,4.3,4.0,4.7,11.1,8274
Tanzania,Lee_Chi,rural,0.29226,73.6,26.40000000000001,6.0,4.9,4.8,5.0,5.7,23449
Tanzania,Lee_Chi,urban,0.49251,39.7,60.3,0.0,0.2,1.1,4.0,55.0,3248
Tanzania,Lee_Chi,all,0.41159,69.4,30.599999999999994,5.2,4.3,4.4,4.9,11.9,26869
Togo,Lee_Chi,rural,0.31907,71.7,28.3,6.4,5.2,4.8,5.4,6.6,4030
Togo,Lee_Chi,urban,0.695,20.6,79.4,0.0,0.6,0.0,2.3,76.5,486
Togo,Lee_Chi,all,0.46475,66.1,33.900000000000006,5.6,4.7,4.2,5.0,14.3,4581
Uganda,Lee_Chi,rural,0.16523,76.9,23.099999999999994,5.7,4.6,4.2,4.7,3.9,11401
Uganda,Lee_Chi,urban,0.20591,71.3,28.700000000000003,1.0,2.2,3.7,5.6,16.3,4923
Uganda,Lee_Chi,all,0.2272,75.2,24.8,4.3,3.9,4.1,5.0,7.6,16445
Zambia,Lee_Chi,rural,0.28192,72.5,27.5,3.9,4.2,4.8,5.5,9.1,8692
Zambia,Lee_Chi,urban,0.52809,18.5,81.5,0.0,0.2,0.0,0.6,80.8,634
Zambia,Lee_Chi,all,0.38511,68.9,31.099999999999994,3.7,3.9,4.5,5.2,13.9,9360
Zimbabwe,Lee_Chi,rural,0.22043,75.3,24.700000000000003,5.2,4.5,4.6,5.2,5.3,10597
Zimbabwe,Lee_Chi,urban,0.0032,45.6,54.4,0.0,0.2,0.2,0.0,53.9,423
Zimbabwe,Lee_Chi,all,0.25287,74.2,25.8,5.0,4.3,4.4,5.0,7.1,11027
Angola,Lee_Yeh,rural,0.51136,69.7,30.3,4.5,4.5,4.6,5.8,11.0,1164
Angola,Lee_Yeh,urban,0.65449,21.8,78.2,0.0,0.0,0.0,0.7,77.5,711
Angola,Lee_Yeh,all,0.79743,50.7,49.3,2.7,2.7,2.8,3.8,37.3,1922
Benin,Lee_Yeh,rural,0.22016,75.1,24.90000000000001,5.7,5.3,3.8,3.7,6.4,1882
Benin,Lee_Yeh,urban,0.72778,43.7,56.3,0.0,1.0,1.9,1.7,51.7,721
Benin,Lee_Yeh,all,0.5102,66.4,33.599999999999994,4.1,4.1,3.4,3.1,18.9,2655
Burkina Faso,Lee_Yeh,rural,0.24166,73.9,26.099999999999994,2.5,4.3,4.1,6.6,8.5,2200
Burkina Faso,Lee_Yeh,urban,0.67069,23.1,76.9,0.0,0.0,0.8,1.0,75.1,389
Burkina Faso,Lee_Yeh,all,0.44043,66.2,33.8,2.2,3.7,3.6,5.8,18.6,2598
Cameroon,Lee_Yeh,rural,0.36031,76.3,23.700000000000003,2.2,2.5,3.4,4.4,11.3,1551
Cameroon,Lee_Yeh,urban,0.65471,29.5,70.5,0.0,0.0,0.2,0.8,69.5,620
Cameroon,Lee_Yeh,all,0.64199,62.7,37.3,1.6,1.7,2.6,3.4,28.0,2202
Cote d'Ivoire,Lee_Yeh,rural,0.44481,76.8,23.200000000000003,4.2,3.2,4.8,4.6,6.5,694
Cote d'Ivoire,Lee_Yeh,urban,0.48848,35.9,64.1,0.0,0.0,0.0,0.0,64.1,209
Cote d'Ivoire,Lee_Yeh,all,0.62989,66.5,33.5,3.1,2.7,3.6,3.4,20.7,928
Democratic Republic of the Congo,Lee_Yeh,rural,0.38542,72.1,27.90000000000001,4.7,5.6,4.7,4.7,8.2,768
Democratic Republic of the Congo,Lee_Yeh,urban,0.72648,38.7,61.3,0.3,0.3,1.2,2.9,56.6,346
Democratic Republic of the Congo,Lee_Yeh,all,0.62104,61.8,38.2,3.5,3.9,3.6,4.1,23.2,1123
Ethiopia,Lee_Yeh,rural,0.33229,71.3,28.700000000000003,2.8,4.7,5.2,6.5,9.5,2498
