Country,Cluster,metric,Ensemble,CL,CY,LY
Ethiopia,urban,precision,0.91421,0.9508,0.92616,0.98324
Ethiopia,urban,recall,0.71091,0.71498,0.82464,0.85475
Ghana,all,accuracy,0.50666,0.51791,0.63501,0.69847
Ghana,all,f1,0.54419,0.56712,0.66485,0.72656
Ghana,all,precision,0.60074,0.64924,0.70348,0.75932
Ghana,all,recall,0.50666,0.51791,0.63501,0.69847
Ghana,rural,accuracy,0.33713,0.35784,0.31555,0.36066
Ghana,rural,f1,0.35075,0.37929,0.32444,0.35048
Ghana,rural,precision,0.3739,0.4211,0.34012,0.34333
Ghana,rural,recall,0.33713,0.35784,0.31555,0.36066
Ghana,urban,accuracy,0.74482,0.72327,0.84914,0.85149
Ghana,urban,f1,0.82997,0.82518,0.89645,0.90993
Ghana,urban,precision,0.94961,0.97063,0.95615,0.97699
Ghana,urban,recall,0.74482,0.72327,0.84914,0.85149
Guinea,all,accuracy,0.53435,0.5339,0.69407,0.80685
Guinea,all,f1,0.56566,0.58005,0.69712,0.81826
Guinea,all,precision,0.61054,0.65687,0.70228,0.83115
Guinea,all,recall,0.53435,0.5339,0.69407,0.80685
Guinea,rural,accuracy,0.39831,0.37165,0.45714,0.52174
Guinea,rural,f1,0.42258,0.40455,0.45569,0.5296
Guinea,rural,precision,0.46396,0.48603,0.45885,0.5394
Guinea,rural,recall,0.39831,0.37165,0.45714,0.52174
Guinea,urban,accuracy,0.88525,0.86731,0.96708,0.96602
Guinea,urban,f1,0.92751,0.92473,0.97447,0.98272
Guinea,urban,precision,0.97952,0.99029,0.9848,1.0
Guinea,urban,recall,0.88525,0.86731,0.96708,0.96602
Kenya,all,accuracy,0.45952,0.46742,0.54149,0.51983
Kenya,all,f1,0.48977,0.51355,0.57834,0.53541
Kenya,all,precision,0.53948,0.60566,0.63455,0.57057
Kenya,all,recall,0.45952,0.46742,0.54149,0.51983
Kenya,rural,accuracy,0.4019,0.37937,0.45706,0.42714
Kenya,rural,f1,0.39933,0.37939,0.45531,0.42452
Kenya,rural,precision,0.39744,0.38243,0.4573,0.44769
Kenya,rural,recall,0.4019,0.37937,0.45706,0.42714
Kenya,urban,accuracy,0.49896,0.51928,0.59261,0.55016
Kenya,urban,f1,0.56417,0.61448,0.6686,0.57484
Kenya,urban,precision,0.68048,0.79904,0.78668,0.61152
Kenya,urban,recall,0.49896,0.51928,0.59261,0.55016
Malawi,all,accuracy,0.32278,0.39558,0.34061,0.45443
Malawi,all,f1,0.34416,0.42144,0.37292,0.48031
Malawi,all,precision,0.38383,0.46481,0.43201,0.51881
Malawi,all,recall,0.32278,0.39558,0.34061,0.45443
Malawi,rural,accuracy,0.30045,0.31229,0.30989,0.35397
Malawi,rural,f1,0.30402,0.31137,0.31956,0.35443
Malawi,rural,precision,0.30965,0.31306,0.33328,0.35635
Malawi,rural,recall,0.30045,0.31229,0.30989,0.35397
Malawi,urban,accuracy,0.36506,0.49288,0.39768,0.54987
Malawi,urban,f1,0.43636,0.568,0.48793,0.60982
Malawi,urban,precision,0.60253,0.69943,0.68949,0.70382
Malawi,urban,recall,0.36506,0.49288,0.39768,0.54987
Mali,all,accuracy,0.6267,0.55263,0.65054,0.8964
Mali,all,f1,0.65335,0.60675,0.64085,0.91761
Mali,all,precision,0.6874,0.67693,0.63947,0.94227
Mali,all,recall,0.6267,0.55263,0.65054,0.8964
Mali,rural,accuracy,0.39919,0.30973,0.4434,0.74545
Mali,rural,f1,0.42034,0.35862,0.40919,0.77916
Mali,rural,precision,0.45094,0.44384,0.38712,0.82654
Mali,rural,recall,0.39919,0.30973,0.4434,0.74545
Mali,urban,accuracy,0.91753,0.90909,0.925,0.94611
Mali,urban,f1,0.95462,0.94645,0.96104,0.97231
Mali,urban,precision,0.99485,0.98701,1.0,1.0
Mali,urban,recall,0.91753,0.90909,0.925,0.94611
Mozambique,all,accuracy,0.6711,0.63396,0.76093,0.85325
Mozambique,all,f1,0.68704,0.66765,0.74875,0.88913
Mozambique,all,precision,0.70792,0.71623,0.74027,0.93561
Mozambique,all,recall,0.6711,0.63396,0.76093,0.85325
Mozambique,rural,accuracy,0.50934,0.44697,0.58791,0.6087
Mozambique,rural,f1,0.52183,0.48,0.56968,0.66586
Mozambique,rural,precision,0.54016,0.54446,0.55993,0.75794
Mozambique,rural,recall,0.50934,0.44697,0.58791,0.6087
Mozambique,urban,accuracy,0.90727,0.93496,0.95652,0.93094
Mozambique,urban,f1,0.9271,0.9575,0.95347,0.95924
Mozambique,urban,precision,0.95359,0.98409,0.95198,0.99176
Mozambique,urban,recall,0.90727,0.93496,0.95652,0.93094
Nigeria,all,accuracy,0.53029,0.504,0.72582,0.75934
Nigeria,all,f1,0.61529,0.60212,0.78901,0.82599
Nigeria,all,precision,0.7852,0.81032,0.8773,0.9208
Nigeria,all,recall,0.53029,0.504,0.72582,0.75934
